时间,商品名称,库存变化,单笔销量
2026-08-19 23:33:23,beatroad,3022 -> -3023,1
2026-08-20 18:04:45,beatroad,-3023 -> -3053,30
2026-08-20 18:44:16,beatroad,-3053 -> -3054,1
2026-08-20 19:38:21,beatroad,-3054 -> -3059,5
2026-08-20 23:00:02,beatroad,-3059 -> -3095,36
2026-08-21 06:21:15,beatroad,-3095 -> -3105,10
2026-08-21 15:09:15,beatroad,-3105 -> -3111,6
2026-08-21 15:39:27,beatroad,-3111 -> -3149,38
2026-08-21 16:43:22,beatroad,-3149 -> -3177,28
2026-08-21 16:55:11,beatroad,-3177 -> -3208,31
2026-08-21 17:08:16,beatroad,-3208 -> -3274,66
2026-08-21 17:44:17,beatroad,-3274 -> -3343,69
2026-08-21 17:50:16,beatroad,-3343 -> -3382,39
2026-08-21 20:11:15,beatroad,-3382 -> -3394,12
2026-08-21 20:34:14,beatroad,-3394 -> -3429,35
2026-08-21 20:39:12,beatroad,-3429 -> -3577,148
2026-08-21 21:04:14,beatroad,-3577 -> -3675,98
2026-08-21 21:10:14,beatroad,-3675 -> -3725,50
2026-08-21 21:26:10,beatroad,-3725 -> -3792,67
2026-08-21 21:45:07,beatroad,-3792 -> -3811,19
2026-08-21 21:51:15,beatroad,-3811 -> -4109,298
2026-08-21 22:12:37,beatroad,-4109 -> -4142,33
2026-08-21 22:27:42,beatroad,-4142 -> -4158,16
2026-08-21 22:39:18,beatroad,-4158 -> -4198,40
2026-08-21 22:43:23,beatroad,-4198 -> -4287,89
2026-08-21 22:49:11,beatroad,-4287 -> -4346,59
2026-08-21 22:55:14,beatroad,-4346 -> -4460,114
